GEOID,Scenario,MinP,MaxP,AvgP,Ag50,Ag95,AgChn50,AgChn95,ChgAg50,ChgAg95,PercVacant,Distress,PrcNW
26004900136001,6,72.35714286,87.85619048,84.58238095,33.915,41.23785714,2.380238095,-0.520714286,1.075479818,0.987530362, ,7.23616929,82.86978508
26004900014001,5,14.30207547,62.42773585,39.05509434,83.99566038,156.0766038,16.38285714,24.95928571,1.330876568,1.24123806,0.480916031,5.702063812,61.19402985
26004900022005,2,37.392,85.3795,61.25225,65.85,76.76725,28.52675,32.763,1.742186612,1.66007856,0.590062112,5.079770241,10.82621083
26004900017001,5,31.00956522,59.37217391,46.18869565,55.6173913,65.44913043,11.85758621,8.772413793,1.776071392,1.282134708,0.578947368,7.165192062,95.46599496
26004900032001,6,66.21428571,77.9275,74.71,51.58392857,67.87321429,-4.488571429,-12.52142857,0.919950574,0.844250461,0.538461538,11.44487505,100
26004900009004,2,31.59129412,67.35035294,50.986,44.44705882,56.75035294,-12.39976471,-29.99564706,0.767677752,0.624074948,0.139097744,5.062329181,88.69565217
26004900032001,4,43.60464286,74.19142857,61.92464286,54.7325,75.27678571,-1.34,-5.117857143,0.976102367,0.936340819,0.538461538,11.44487505,100
26004900007002,3,52.95181818,70.60795455,67.29477273,36.62886364,45.39295455,6.827954545,6.949318182,1.229119002,1.180766411,0.297229219,9.946497756,100
26004900023001,0,80.09491525,83.02644068,81.76542373,20.89033898,25.10915254, , , , ,0.356948229,7.13888717,59.21052632
26004900006003,1,53.41727273,61.29590909,58.80136364,21.45181818,26.21363636,0.496818182,0.315,1.023708813,1.012162803,0.259825328,8.535156437,97.34042553
26004900030002,1,69.765,79.82347222,75.4775,24.13805556,28.14194444,-2.625833333,-3.560972222,0.901888947,0.887676826,0.050251256,0.186652116,35.75129534
26004900022001,4,84.26685714,90.90885714,88.16857143,17.12828571,20.88657143,-1.915142857,-4.039142857,0.899432875,0.871608995,0.319892473,6.576083316,19.51219512
26004900019003,2,49.43243902,78.22414634,63.74756098,25.12195122,29.58341463,3.642439024,4.757073171,1.169577362,1.191613943,0.18251928,2.050093952,22.86198137
26004900034002,2,15.42809524,66.40952381,40.74238095,58.61904762,73.10880952,3.000714286,4.167619048,1.053951892,1.0604518,0.394957983,7.740686065,50.35046729
26004900023001,2,42.95898305,77.70864407,60.23983051,19.89830508,24.72186441,-0.992033898,-0.387288136,0.952512312,0.984575818,0.356948229,7.13888717,59.21052632
26004900015003,1,63.32390244,79.57439024,74.7702439,134.6417073,210.7253659,35.35292683,44.65414634,1.356061648,1.268885521,0.486238532,4.013915206,43.58974359
26004900036001,5,6.09509434,61.54679245,34.09301887,101.140566,165.8828302,-31.32207547,-29.25962264,0.763540308,0.850060188,0.132492114,5.789496494,54.84444444
26004900029001,0,75.7862963,81.25166667,79.03555556,41.31851852,48.66111111, , , , ,0.257042254,0.637531556,51.82849937
26004900026004,5,17.87549296,70.71084507,44.18802817,25.34394366,31.51943662,-3.151830986,-1.369577465,0.889393041,0.9583576,0.236111111,6.065418065,45.06437768
26004900135002,0,73.17083333,79.27138889,76.85305556,69.54333333,96.74305556, , , , , ,4.497015797,50.55002619
26004900017002,3,60.5106,73.6332,70.9158,69.7984,76.3392,35.508,34.5788,1.960575044,1.828028467,0.625272331,8.428278504,99.21671018
26004900001001,2,44.95220339,68.6040678,57.84271186,63.45762712,77.14271186,-8.094067797,-5.464067797,0.890570867,0.937677305,0.116455696,5.9246322,98.53137517
